Date,Queue,New,Resolved
2023-08-16,-169,0,0
2023-08-17,-170,0,0
2023-08-18,-171,0,0
2023-08-19,-171,0,0
2023-08-20,-175,0,0
2023-08-21,-176,0,0
2023-08-22,-176,0,0
2023-08-23,-176,0,0
2023-08-24,-179,0,0
2023-08-25,-179,0,0
2023-08-26,-179,0,0
2023-08-27,-180,0,0
2023-08-28,-181,0,0
2023-08-29,-183,0,0
2023-08-30,-183,0,0
2023-08-31,-185,0,0
2023-09-01,-187,0,0
2023-09-02,-188,0,0
2023-09-03,-190,0,1
2023-09-04,-191,0,0
2023-09-05,-193,0,0
2023-09-06,-193,0,0
2023-09-07,-193,0,0
2023-09-08,-194,0,0
2023-09-09,-195,0,0
2023-09-10,-196,0,0
2023-09-11,-197,0,0
2023-09-12,-199,0,0
2023-09-13,-200,0,0
2023-09-14,-200,0,0
2023-09-15,-200,0,0
2023-09-16,-200,0,0
2023-09-17,-200,0,0
2023-09-18,-201,0,0
2023-09-19,-201,0,0
2023-09-20,-202,0,0
2023-09-21,-202,0,0
2023-09-22,-202,0,0
2023-09-23,-202,0,0
2023-09-24,-202,0,0
2023-09-25,-202,0,0
2023-09-26,-203,0,0
2023-09-27,-203,0,0
2023-09-28,-203,0,0
2023-09-29,-204,0,0
2023-09-30,-204,0,0
2023-10-01,-206,0,0
2023-10-02,-207,0,1
2023-10-03,-206,0,0
2023-10-04,-208,0,0
2023-10-05,-208,0,0
2023-10-06,-208,0,0
2023-10-07,-208,0,0
2023-10-08,-208,0,0
2023-10-09,-209,0,0
2023-10-10,-210,0,0
2023-10-11,-212,0,0
2023-10-12,-213,0,0
2023-10-13,-215,0,0
2023-10-14,-216,0,0
2023-10-15,-217,0,0
2023-10-16,-217,0,0
2023-10-17,-218,0,0
2023-10-18,-218,0,0
2023-10-19,-218,0,0
2023-10-20,-218,0,0
2023-10-21,-219,0,0
2023-10-22,-220,0,0
2023-10-23,-220,0,0
2023-10-24,-221,0,0
2023-10-25,-222,0,0
2023-10-26,-222,0,0
2023-10-27,-224,0,0
2023-10-28,-225,0,0
2023-10-29,-225,0,0
2023-10-30,-225,0,0
2023-10-31,-225,0,0
2023-11-01,-225,0,0
2023-11-02,-225,0,0
2023-11-03,-225,0,0
2023-11-04,-225,0,0
2023-11-05,-225,0,0
2023-11-06,-228,0,0
2023-11-07,-229,0,0
2023-11-08,-231,0,0
2023-11-09,-231,0,0
2023-11-10,-233,0,0
2023-11-11,-233,0,0
2023-11-12,-233,0,0
2023-11-13,-234,0,1
2023-11-14,-234,0,0
2023-11-15,-237,0,0
2023-11-16,-239,0,0
2023-11-17,-240,0,0
2023-11-18,-242,0,0
2023-11-19,-244,0,0
2023-11-20,-244,0,0
2023-11-21,-248,0,0
2023-11-22,-249,0,0
2023-11-23,-249,0,0
2023-11-24,-250,0,0
2023-11-25,-250,0,0
2023-11-26,-252,0,0
2023-11-27,-252,0,0
2023-11-28,-253,0,0
2023-11-29,-253,0,0
2023-11-30,-254,0,0
2023-12-01,-256,0,0
2023-12-02,-256,0,0
2023-12-03,-257,0,0
2023-12-04,-258,0,0
2023-12-05,-258,0,0
2023-12-06,-258,0,0
2023-12-07,-260,0,0
2023-12-08,-261,0,0
2023-12-09,-261,0,0
2023-12-10,-262,0,0
2023-12-11,-262,0,0
2023-12-12,-264,0,0
2023-12-13,-264,0,0
2023-12-14,-264,0,0
